Country;Area (km²)
Russia;17098246
Canada;9984670
China;9572900
United States of America;9525067
Brazil;8515767
Australia;7692024
India;3287263
Argentina;2780400
Kazakhstan;2724900
Algeria;2381740
Democratic Republic of the Congo;2345410
Kingdom of Denmark;2210583
Denmark;43098
Faroe Islands;1399
Greenland;2166086
Saudi Arabia;2149690
Mexico;1964375
Indonesia;1904556
Sudan;1861484
Libya;1759540
Iran;1648000
Mongolia;1565000
Peru;1285220
Chad;1284000
Niger;1267000
Angola;1246700
Mali;1240000
South Africa;1219912
Colombia;1197411
Ethiopia;1127127
Bolivia;1098580
Mauritania;1030700
Egypt;1001450
Tanzania;945087
Nigeria;923768
Venezuela;91205
Namibia;825418
Pakistan;80394
Mozambique;80159
Turkey;78058
Chile;75695
Zambia;752614
Myanmar (Burma);6785
France;675417
Afghanistan;6475
Somalia;637657
Central African Republic;622984
South Sudan;619745
Ukraine;603628
Botswana;60037
Madagascar;58704
Kenya;580367
Yemen;52797
Thailand;514
Spain;504781
Turkmenistan;4881
Cameroon;47544
Papua New Guinea;46284
Sweden;449964
Uzbekistan;4474
Morocco;44655
Iraq;437072
Paraguay;40675
Zimbabwe;39058
Japan;377835
Germany;357021
Republic of the Congo;342
Finland;33703
Malaysia;32975
Vietnam;32956
Norway;32422
Ivory Coast;32246
Poland;312685
Oman;3095
Italy;30123
Philippines;300
Ecuador;28356
Burkina Faso;2742
New Zealand;26919
Gabon;267667
Guinea;245857
United Kingdom;24361
Uganda;24155
Ghana;23854
Romania;238391
Laos;2368
Guyana;21497
Belarus;2076
Kyrgyzstan;1985
Senegal;19619
Syria;18518
Cambodia;181035
Uruguay;17622
Tunisia;16361
Suriname;16327
Bangladesh;14757
Nepal;147181
Tajikistan;1431
Greece;13194
Nicaragua;129494
Eritrea;12132
North Korea;12054
Malawi;11848
Benin;11262
Honduras;11209
Liberia;11137
Bulgaria;11091
Cuba;109886
Guatemala;10889
Iceland;103
South Korea;9848
Hungary;9303
Jordan;923
Portugal;88267
Azores Islands;2247
Total;91188
Serbia;88361
Azerbaijan;866
Austria;83858
United Arab Emirates;8288
Czech Republic;78867
Panama;78201
Sierra Leone;7274
Ireland;71273
Georgia;69701
Sri Lanka;65611
Lithuania;65201
Latvia;64589
Togo;56785
Croatia;56542
Bosnia and Herzegovina;51129
Costa Rica;511
Slovakia;48845
Dominican Republic;4873
Bhutan;47
Estonia;45339
Netherlands;41526
Aruba;193
Netherlands Antilles;960
Total;42679
Switzerland;4121
Guinea-Bissau;3612
Republic of China (Taiwan Quemoy Matsu);3598
Moldova;33843
Belgium;32545
Lesotho;30355
Armenia;298
Albania;28748
Solomon Islands;2845
Equatorial Guinea;28051
Burundi;27834
Haiti;2775
Israel (Including West Bank and Gaza);2699
Rwanda;26338
Macedonia;25333
Belize;22966
Djibouti;22
El Salvador;2104
Slovenia;20253
Fiji;1827
Kuwait;1782
Swaziland;17363
East Timor;14874
Bahamas;1394
Montenegro;13812
Vanuatu;122
Qatar;11437
The Gambia;113
Jamaica;1099
Kosovo;10908
Lebanon;10452
Cyprus;925
Brunei;577
Trinidad and Tobago;5128
Cape Verde;4033
Samoa;286
Luxembourg;2586
Comoros;217
Mauritius;186
São Tomé and Príncipe;1001
Dominica;754
Tonga;748
Kiribati;717
Micronesia;702
Singapore;692.7
Bahrain;665
Saint Lucia;620
Seychelles;455
Andorra;468
Palau;458
Antigua and Barbuda;442
Barbados;430
Saint Vincent and the Grenadines;389
Grenada;340
Malta;316
Maldives;300
Saint Kitts and Nevis;261
Marshall Islands;181
Liechtenstein;160
San Marino;61.2
Tuvalu;26
Nauru;21
Monaco;1.95
Vatican City;0.44
